id	uri
3481694	<http://wikidata.dbpedia.org/ontology/EducationalInstitution>
3481839	<http://wikidata.dbpedia.org/ontology/Election>
3482130	<http://wikidata.dbpedia.org/ontology/Embryology>
3481996	<http://wikidata.dbpedia.org/ontology/Engine>
3482106	<http://wikidata.dbpedia.org/ontology/Engineer>
3482116	<http://wikidata.dbpedia.org/ontology/Entomologist>
3481876	<http://wikidata.dbpedia.org/ontology/Enzyme>
3481661	<http://wikidata.dbpedia.org/ontology/EthnicGroup>
3481476	<http://wikidata.dbpedia.org/ontology/Eukaryote>
3481881	<http://wikidata.dbpedia.org/ontology/EurovisionSongContestEntry>
3481604	<http://wikidata.dbpedia.org/ontology/Event>
3482025	<http://wikidata.dbpedia.org/ontology/Fashion>
3482073	<http://wikidata.dbpedia.org/ontology/FashionDesigner>
3481918	<http://wikidata.dbpedia.org/ontology/Fern>
3481679	<http://wikidata.dbpedia.org/ontology/FictionalCharacter>
3482133	<http://wikidata.dbpedia.org/ontology/FieldHockeyLeague>
3481880	<http://wikidata.dbpedia.org/ontology/FigureSkater>
3481513	<http://wikidata.dbpedia.org/ontology/Film>
3481895	<http://wikidata.dbpedia.org/ontology/FilmFestival>
3481597	<http://wikidata.dbpedia.org/ontology/Fish>
3482089	<http://wikidata.dbpedia.org/ontology/FloweringPlant>
3481739	<http://wikidata.dbpedia.org/ontology/Food>
3481502	<http://wikidata.dbpedia.org/ontology/FootballLeagueSeason>
3481760	<http://wikidata.dbpedia.org/ontology/FootballMatch>
3482101	<http://wikidata.dbpedia.org/ontology/FormulaOneRacer>
3482110	<http://wikidata.dbpedia.org/ontology/FormulaOneTeam>
3481662	<http://wikidata.dbpedia.org/ontology/Fungus>
3481757	<http://wikidata.dbpedia.org/ontology/GaelicGamesPlayer>
3481940	<http://wikidata.dbpedia.org/ontology/Galaxy>
3481991	<http://wikidata.dbpedia.org/ontology/Game>
3481891	<http://wikidata.dbpedia.org/ontology/Garden>
3482168	<http://wikidata.dbpedia.org/ontology/Gene>
3481716	<http://wikidata.dbpedia.org/ontology/Genre>
3482172	<http://wikidata.dbpedia.org/ontology/Ginkgo>
3481517	<http://wikidata.dbpedia.org/ontology/GivenName>
3482057	<http://wikidata.dbpedia.org/ontology/Glacier>
3482044	<http://wikidata.dbpedia.org/ontology/Gnetophytes>
3481950	<http://wikidata.dbpedia.org/ontology/GolfCourse>
3482149	<http://wikidata.dbpedia.org/ontology/GolfLeague>
